X,Y,Z,formation,formation_id
-702938.3755155628,4544547.354280216,378.00983,Tournaisian Plutonites,34
-702676.4895188886,4544121.581000959,383.52786,Tournaisian Plutonites,34
-702427.5458279543,4543689.75866881,375.56723,Tournaisian Plutonites,34
-702406.5199539755,4543260.926075173,404.4203,Tournaisian Plutonites,34
-702379.7269341901,4542772.766557301,385.50977,Tournaisian Plutonites,34
-702134.2463734612,4542400.06298261,375.1468,Tournaisian Plutonites,34
-701677.0525124767,4542546.109261982,363.88184,Tournaisian Plutonites,34
-701349.9587138317,4542916.005371062,371.07626,Tournaisian Plutonites,34
-701094.3883609037,4543343.814671381,354.10638,Tournaisian Plutonites,34
-700969.7411562522,4543825.948474868,361.23563,Tournaisian Plutonites,34
-700816.6455785364,4544251.619219322,334.65475,Tournaisian Plutonites,34
-700334.6340190741,4544208.163848023,281.02084,Tournaisian Plutonites,34
-699931.0546906253,4544287.887199657,301.6584,Tournaisian Plutonites,34
-699434.3947968463,4544256.216793221,289.52258,Tournaisian Plutonites,34
-698944.2420161786,4544165.360676043,257.03513,Tournaisian Plutonites,34
-698468.6019385665,4544038.303014704,247.37758,Tournaisian Plutonites,34
-698016.772310382,4543841.531683619,212.39911,Tournaisian Plutonites,34
-697522.4190329742,4543773.538061166,213.98872,Tournaisian Plutonites,34
-697044.4257989047,4543644.923449995,237.02701,Tournaisian Plutonites,34
-696572.9345765312,4543484.019813672,198.6481,Tournaisian Plutonites,34
-696076.5818863362,4543434.169799603,176.84023,Tournaisian Plutonites,34
-695576.7530517308,4543421.087900009,207.85757,Tournaisian Plutonites,34
-695076.9242171253,4543408.0060004145,208.73534,Tournaisian Plutonites,34
-694577.0953825199,4543394.92410082,203.39973,Tournaisian Plutonites,34
-694093.998581881,4543355.912141286,191.38074,Tournaisian Plutonites,34
-693975.3500830577,4542989.614634889,174.22379,Tournaisian Plutonites,34
-694095.2394464012,4542581.293397305,166.1534,Tournaisian Plutonites,34
-693691.7399290602,4542305.630282354,171.04105,Tournaisian Plutonites,34
-693233.4591396527,4542320.305559419,183.70256,Tournaisian Plutonites,34
-692843.1963931244,4542211.336229895,240.51727,Tournaisian Plutonites,34
-692516.3455892352,4541832.960025573,251.92142,Tournaisian Plutonites,34
-692182.4509912122,4541460.823914801,223.68842,Tournaisian Plutonites,34
-691778.3931810051,4541249.679732081,219.58577,Tournaisian Plutonites,34
-691366.3412382463,4541300.752157105,301.00513,Tournaisian Plutonites,34
-690870.8419101116,4541244.604985681,289.38028,Tournaisian Plutonites,34
-690389.5292042233,4541158.134081453,335.42798,Tournaisian Plutonites,34
-689917.0498566764,4541012.244926944,336.81168,Tournaisian Plutonites,34
-689548.9165884788,4540681.501373708,308.49124,Tournaisian Plutonites,34
-689088.0501810475,4540591.462525674,287.8233,Tournaisian Plutonites,34
-688593.2153923298,4540551.193269606,319.52814,Tournaisian Plutonites,34
-688104.1071081758,4540526.868357783,328.91147,Tournaisian Plutonites,34
-687713.245735279,4540816.440738818,336.6741,Tournaisian Plutonites,34
-687297.659498638,4541065.449441236,330.89404,Tournaisian Plutonites,34
-686818.4639874712,4541191.345208534,333.53003,Tournaisian Plutonites,34
-686489.1564955123,4540908.587077128,357.2599,Tournaisian Plutonites,34
-686538.5492195615,4540434.9992798595,354.9754,Tournaisian Plutonites,34
-686630.8184192159,4539962.748357058,372.62024,Tournaisian Plutonites,34
-686517.0094056462,4539476.424972331,372.10278,Tournaisian Plutonites,34
-686424.9863145115,4538988.434988992,360.20392,Tournaisian Plutonites,34
-686096.1342756023,4538638.872494125,321.78534,Tournaisian Plutonites,34
-685857.2275107271,4538227.399685053,303.05017,Tournaisian Plutonites,34
-686169.7326279904,4537889.679858657,321.76767,Tournaisian Plutonites,34
-686666.5274053786,4537895.180906332,326.96753,Tournaisian Plutonites,34
-687102.9229142279,4537735.650107307,320.5364,Tournaisian Plutonites,34
-687550.2563251567,4537951.49789603,307.4464,Tournaisian Plutonites,34
-688032.4047402432,4537863.968375445,335.36887,Tournaisian Plutonites,34
-688510.4466709782,4537876.949602347,365.30426,Tournaisian Plutonites,34
-688923.0109399754,4538150.845703995,350.0973,Tournaisian Plutonites,34
-689365.6014519557,4538351.211598627,329.22113,Tournaisian Plutonites,34
-689800.3632135107,4538201.300487858,388.45755,Tournaisian Plutonites,34
-690021.5980675858,4537773.082927428,391.85303,Tournaisian Plutonites,34
-690320.7740893336,4537406.7174318675,282.56674,Tournaisian Plutonites,34
-690720.50534574,4537128.883698688,192.07452,Tournaisian Plutonites,34
-691134.3980735964,4537403.874622372,175.8248,Tournaisian Plutonites,34
-691492.3802781326,4537748.927912316,204.51895,Tournaisian Plutonites,34
-691880.5459194484,4537995.0896129785,230.37788,Tournaisian Plutonites,34
-692375.0410707052,4538037.581097406,318.24777,Tournaisian Plutonites,34
-692814.9926541704,4538168.598329459,320.1716,Tournaisian Plutonites,34
-693272.1761609787,4538215.995829049,348.75034,Tournaisian Plutonites,34
-693732.3753836369,4538155.137039664,361.7522,Tournaisian Plutonites,34
-694187.0558913795,4537960.561537942,341.31683,Tournaisian Plutonites,34
-694633.456183699,4537743.018534487,358.66043,Tournaisian Plutonites,34
-695046.9231064097,4537470.6946973195,331.7472,Tournaisian Plutonites,34
-695341.6542989524,4537254.61511812,323.12646,Tournaisian Plutonites,34
-695592.7585650996,4536829.43446241,346.71826,Tournaisian Plutonites,34
-695649.5249378178,4536407.446839382,327.43857,Tournaisian Plutonites,34
-695330.2295710351,4536086.197325415,310.5837,Tournaisian Plutonites,34
-694868.8445243522,4535976.682060479,306.0756,Tournaisian Plutonites,34
-694505.5130141198,4535674.395584728,307.0586,Tournaisian Plutonites,34
-694186.3010547449,4535497.217699931,308.33298,Tournaisian Plutonites,34
-693899.6795533779,4535253.877043829,298.23892,Tournaisian Plutonites,34
-693554.0918866917,4535088.735454731,282.2454,Tournaisian Plutonites,34
-693084.3552103962,4535169.986600281,284.7426,Tournaisian Plutonites,34
-692762.5384060672,4535020.864018798,320.9613,Tournaisian Plutonites,34
-692457.9058900117,4534624.380689815,345.96033,Tournaisian Plutonites,34
-692164.4128756154,4534219.873064426,341.72977,Tournaisian Plutonites,34
-691876.9917787496,4533811.014881665,344.17615,Tournaisian Plutonites,34
-691467.4969230345,4533917.529719317,326.77707,Tournaisian Plutonites,34
-691147.5509635143,4533664.004549,308.75574,Tournaisian Plutonites,34
-691134.3552002134,4533172.587904493,310.18185,Tournaisian Plutonites,34
-691020.9308915471,4532944.068803438,218.64784,Tournaisian Plutonites,34
-690550.9595672438,4532881.272871456,184.59663,Tournaisian Plutonites,34
-690999.1139467057,4532666.3113012,239.75885,Tournaisian Plutonites,34
-691448.3168118513,4532448.602237199,294.74753,Tournaisian Plutonites,34
-691920.1522782451,4532306.3064698195,286.94916,Tournaisian Plutonites,34
-692351.8907819226,4532063.444006896,261.6948,Tournaisian Plutonites,34
-692244.0494615238,4531625.095405856,282.6907,Tournaisian Plutonites,34
-691800.0664514289,4531503.095435494,309.89606,Tournaisian Plutonites,34
-691307.0533587985,4531443.841161933,315.00436,Tournaisian Plutonites,34
-690847.8201214926,4531248.585915385,307.18945,Tournaisian Plutonites,34
-690379.0355763892,4531076.508326629,310.64343,Tournaisian Plutonites,34
-689881.6884633368,4531050.0332530495,315.69254,Tournaisian Plutonites,34
-689432.9711877812,4530834.357746715,319.17435,Tournaisian Plutonites,34
-688991.6198443403,4530604.427941506,298.18365,Tournaisian Plutonites,34
-688663.8191193214,4530234.2275480945,291.89297,Tournaisian Plutonites,34
-688177.3853806503,4530203.0441895,293.8836,Tournaisian Plutonites,34
-687704.2059492952,4530090.299110718,303.1817,Tournaisian Plutonites,34
-687211.6358792632,4530015.867094007,314.80365,Tournaisian Plutonites,34
-686720.5235240839,4529930.278291193,328.3285,Tournaisian Plutonites,34
-686223.08266589,4529886.779938771,337.09256,Tournaisian Plutonites,34
-685748.2841526858,4529764.795596469,339.36072,Tournaisian Plutonites,34
-685263.935297629,4529784.756085449,291.9967,Tournaisian Plutonites,34
-684779.6469046302,4529895.5042371135,248.6064,Tournaisian Plutonites,34
-684392.0798291486,4529790.797178591,221.31444,Tournaisian Plutonites,34
-684076.3606035113,4529403.349837182,301.26965,Tournaisian Plutonites,34
-684215.8946721219,4529225.186880946,301.26965,Tournaisian Plutonites,34
-684715.5687996752,4529207.137885025,326.87198,Tournaisian Plutonites,34
-685215.2429272286,4529189.088889103,324.92178,Tournaisian Plutonites,34
-685714.9170547819,4529171.039893181,350.67932,Tournaisian Plutonites,34
-686214.5911823353,4529152.99089726,337.1683,Tournaisian Plutonites,34
-686714.2653098886,4529134.941901338,336.59647,Tournaisian Plutonites,34
-687213.939437442,4529116.892905417,317.3646,Tournaisian Plutonites,34
-687713.6135649954,4529098.843909495,283.82025,Tournaisian Plutonites,34
-688213.2876925488,4529080.794913573,274.76505,Tournaisian Plutonites,34
-688712.9618201022,4529062.745917652,245.22777,Tournaisian Plutonites,34
-689212.6359476555,4529044.69692173,228.32942,Tournaisian Plutonites,34
-689712.3100752089,4529026.647925808,215.45517,Tournaisian Plutonites,34
