X,Y,Z,azimuth,dip,polarity,formation
442060.5433516612,4586383.184875814,1662.632303,253.16,68.33,-1,Main_Fault
442165.791378957,4586417.624852837,1626.862408,90.0,19.86,-1,host_rock
442073.90288691444,4586417.744773258,1660.261919,90.0,19.92,-1,host_rock
442108.55769690074,4586550.691517231,1647.655923,90.0,20.0,-1,host_rock
441795.9763218364,4586453.296168923,1650.377786,180.0,25.37,-1,host_rock
441794.4929830837,4586285.98846163,1570.705817,180.0,25.26,-1,host_rock
442046.155257458,4586285.056925877,1563.384318,180.0,22.04,-1,host_rock
442027.89665696415,4586445.481436093,1630.522648,180.0,24.79,-1,host_rock
442075.300318859,4586410.651669058,1656.82763,90.0,19.75,-1,chromite lense
442158.73426089564,4586413.746433617,1626.429661,90.0,20.03,-1,chromite lense
442080.9839461424,4586569.016028167,1654.727366,90.0,20.0,-1,chromite lense
441795.9763223607,4586451.720811965,1647.029478,180.0,25.0,-1,chromite lense
441795.97637761006,4586285.89050211,1572.094163,180.0,32.46,-1,chromite lense
442046.5730873237,4586283.800438903,1558.442369,180.0,21.16,-1,chromite lense
442023.9342736135,4586447.75450693,1625.888236,180.0,26.94,-1,chromite lense
441939.36884679954,4586284.440141996,1571.942285,180.78,21.85,-1,chromite lense
442075.300318859,4586410.651669058,1656.82763,90.0,19.75,-1,host_rock
442158.73426089564,4586413.746433617,1626.429661,90.0,20.03,-1,host_rock
442080.9839461424,4586569.016028167,1654.727366,90.0,20.0,-1,host_rock
441795.9763223607,4586451.720811965,1647.029478,180.0,25.0,-1,host_rock
441795.97637761006,4586285.89050211,1572.094163,180.0,32.46,-1,host_rock
442046.5730873237,4586283.800438903,1558.442369,180.0,21.16,-1,host_rock
442023.9342736135,4586447.75450693,1625.888236,180.0,26.94,-1,host_rock
441939.36884679954,4586284.440141996,1571.942285,180.78,21.85,-1,host_rock
