X,Y,Z,azimuth,dip,polarity,formation,formation_id
-681808.2956256447,4532836.547517677,155.44547,264.42362777191374,0,1,Tournaisian Plutonites,34
-680673.9416870836,4530595.72957092,120.37246,7.23978738217148,0,1,Tournaisian Plutonites,34
-704101.2429887162,4545543.505017637,410.5211,33.996237890788635,0,1,Tournaisian Plutonites,34
-689088.0501810475,4540591.462525674,287.8233,187.76429573880552,0,1,Tournaisian Plutonites,34
-693899.6795533779,4535253.877043829,298.23892,32.86726338441859,0,1,Tournaisian Plutonites,34
-686958.5699741548,4542550.610041723,353.88705,180.30891589962226,0,1,Tournaisian Plutonites,34
-702095.4442968024,4545597.979882747,421.39084,37.040082750480025,0,1,Tournaisian Plutonites,34
