X,Y,Z,azimuth,dip,polarity,formation,formation_id
-700077.221124427,4544308.012125215,296.2340087890625,170.012,70,1,Tournaisian Plutonites,34
-695308.1705801666,4543343.0676730685,208.14801025390625,211.729,70,1,Tournaisian Plutonites,34
-692252.3429197179,4541537.757039512,205.06301879882812,239.019,70,1,Tournaisian Plutonites,34
-687784.6024065926,4540736.08036558,334.49200439453125,254.007,70,1,Tournaisian Plutonites,34
-686061.8610413239,4537917.607865374,331.156005859375,268.375,70,1,Tournaisian Plutonites,34
-690224.8356714648,4537468.550188446,277.4040222167969,270.564,70,1,Tournaisian Plutonites,34
-694501.5414430094,4537807.50062136,349.3970031738281,266.69,70,1,Tournaisian Plutonites,34
-693674.9542236519,4535183.666054386,277.78399658203125,294.451,70,1,Tournaisian Plutonites,34
-690683.7223875191,4532904.797206258,178.3412628173828,299.539,70,1,Tournaisian Plutonites,34
-694668.6011323495,4532750.741642433,310.4800109863281,318.703,70,1,Tournaisian Plutonites,34
-698155.2304763561,4533699.437164071,283.0840148925781,349.239,70,1,Tournaisian Plutonites,34
-693789.8645341609,4531775.311037656,223.7200164794922,318.581,70,1,Tournaisian Plutonites,34
-689039.7447237693,4530628.182367805,314.26702880859375,305.117,70,1,Tournaisian Plutonites,34
-684425.3887127368,4529836.8700781055,240.9960174560547,298.084,70,1,Tournaisian Plutonites,34
-688156.5977032685,4529089.767185426,282.1280212402344,308.264,70,1,Tournaisian Plutonites,34
-693142.6631288654,4528917.842107555,239.11001586914062,326.366,70,1,Tournaisian Plutonites,34
-696987.013494611,4529472.704213114,278.7640075683594,346.764,70,1,Tournaisian Plutonites,34
-695999.907679173,4531026.963541583,264.4540100097656,336.133,70,1,Tournaisian Plutonites,34
-700925.5797978531,4530655.743602405,354.96099853515625,16.458,70,1,Tournaisian Plutonites,34
-705636.5190101952,4531606.224514711,335.07904052734375,48.611,70,1,Tournaisian Plutonites,34
-707057.8404896816,4535742.045188619,377.76202392578125,77.496,70,1,Tournaisian Plutonites,34
-707235.9915449006,4540734.654327516,330.29400634765625,110.858,70,1,Tournaisian Plutonites,34
-707414.2429819265,4545730.076624755,485.93902587890625,133.799,70,1,Tournaisian Plutonites,34
-705964.6069068405,4548689.43669913,359.3800048828125,147.563,70,1,Tournaisian Plutonites,34
-704851.5241172401,4545865.611570748,451.0920104980469,144.34,70,1,Tournaisian Plutonites,34
-702133.382579739,4544959.31444653,366.4140319824219,156.333,70,1,Tournaisian Plutonites,34
-701278.8291807076,4543049.915566436,391.3370056152344,156.488,70,1,Tournaisian Plutonites,34
-694704.9959004823,4549377.166741119,315.9350280761719,114.016,70,1,Tournaisian Plutonites,35
-689707.9968344658,4549550.372786712,464.3680114746094,151.733,70,1,Tournaisian Plutonites,35
-684710.9977684492,4549723.578832304,386.43902587890625,224.752,70,1,Tournaisian Plutonites,35
-679713.9987024327,4549896.784877896,434.3440246582031,247.116,70,1,Tournaisian Plutonites,35
-678079.4639204566,4546472.479414732,451.3680419921875,269.551,70,1,Tournaisian Plutonites,35
-677915.149811168,4541475.18005673,294.80401611328125,295.979,70,1,Tournaisian Plutonites,35
-680748.7217367652,4541954.132026187,313.3372497558594,301.443,70,1,Tournaisian Plutonites,35
-685282.4330924522,4542459.668858269,295.2230224609375,325.26,70,1,Tournaisian Plutonites,35
-689645.4988359128,4543829.0610936275,296.9480285644531,32.497,70,1,Tournaisian Plutonites,35
-692478.3617051403,4545531.476675657,410.1120300292969,79.064,70,1,Tournaisian Plutonites,35
-696262.8676142818,4545135.057506571,262.3520202636719,81.321,70,1,Tournaisian Plutonites,35
-700423.8638430766,4544977.962094902,388.260009765625,83.489,70,1,Tournaisian Plutonites,35
-701466.5898506815,4547072.328339609,345.6960144042969,92.883,70,1,Tournaisian Plutonites,35
-701396.9698360295,4548555.962168786,362.7480163574219,99.172,70,1,Tournaisian Plutonites,35
-697964.8752325705,4547637.761815658,189.88400268554688,248.344,70,1,Tournaisian Plutonites,36
-697517.2219682402,4547064.502673468,188.92324829101562,292.85,70,1,Tournaisian Plutonites,36
-682925.8058789803,4531148.103273736,224.85250854492188,40.522,70,1,Tournaisian Plutonites,37
-686104.9303805014,4532807.93185239,165.74400329589844,79.991,70,1,Tournaisian Plutonites,37
-681871.6041418071,4532192.023537447,101.14800262451172,36.933,70,1,Tournaisian Plutonites,37
-681146.0653529417,4536409.004196407,299.71527099609375,170.225,70,1,Tournaisian Plutonites,37
-677834.4124420767,4539019.707398453,279.7820129394531,208.517,70,1,Tournaisian Plutonites,37
-677670.0983327882,4534022.408040451,280.05999755859375,265.101,70,1,Tournaisian Plutonites,37
-678665.7299983252,4531278.02181991,176.31900024414062,320.836,70,1,Tournaisian Plutonites,37
-683703.6133673872,4549255.10958874,325.8000183105469,179.967,70,1,Tournaisian Plutonites,38
