X,Y,Z,azimuth,dip,polarity,formation,formation_id
-700925.5797978531,4530655.743602405,354.96099853515625,363.9094724190365,79.59614410747858,1,Tournaisian Plutonites,34
-689039.7447237693,4530628.182367805,314.2670288085937,205.9111442270588,77.94082453456123,1,Tournaisian Plutonites,34
-684710.9977684492,4549723.578832304,386.4390258789063,178.01480774232516,61.13713277073257,1,Tournaisian Plutonites,35
-677670.0983327882,4534022.408040451,280.0599975585937,268.1167599286373,39.20533640363467,1,Tournaisian Plutonites,37
-700423.8638430766,4544977.962094902,388.260009765625,420.5870822083911,61.85935394259093,1,Tournaisian Plutonites,35
-686061.8610413239,4537917.607865374,331.156005859375,344.6989976005131,78.82746535975815,1,Tournaisian Plutonites,34
-694704.9959004823,4549377.166741119,315.9350280761719,178.01480774232516,63.21145254404788,1,Tournaisian Plutonites,35
-693674.9542236519,4535183.666054386,277.78399658203125,235.1805534642584,80.79070770654918,1,Tournaisian Plutonites,34
-693789.8645341609,4531775.311037656,223.7200164794922,233.9683262701756,82.9563252147639,1,Tournaisian Plutonites,34
-683703.6133673872,4549255.10958874,325.8000183105469,386.8526551909239,64.54009694333595,1,Tournaisian Plutonites,38
-682925.8058789803,4531148.103273736,224.85250854492188,347.3781645735495,41.4202470338667,1,Tournaisian Plutonites,37
-704851.5241172401,4545865.611570748,451.0920104980469,349.48485003276807,79.24966814846577,1,Tournaisian Plutonites,34
-705636.5190101952,4531606.224514711,335.0790405273437,385.9840211337189,80.71173859181617,1,Tournaisian Plutonites,34
-694501.5414430094,4537807.50062136,349.3970031738281,323.06413783315537,80.52381432416574,1,Tournaisian Plutonites,34
-677834.4124420767,4539019.707398453,279.7820129394531,268.1167599286373,43.74542951919531,1,Tournaisian Plutonites,37
-678079.4639204566,4546472.479414732,451.3680419921875,268.1167599286375,60.28051660964498,1,Tournaisian Plutonites,35
-697964.8752325705,4547637.761815658,189.88400268554688,357.7139032890852,59.12161558897721,1,Tournaisian Plutonites,36
-695308.1705801666,4543343.0676730685,208.14801025390625,164.5690136304921,79.39678280356453,1,Tournaisian Plutonites,34
-679713.9987024327,4549896.784877896,434.3440246582031,178.0148077423273,59.03493943033603,1,Tournaisian Plutonites,35
-693142.6631288654,4528917.842107555,239.11001586914065,358.02516025027364,78.16609355148239,1,Tournaisian Plutonites,34
-696987.013494611,4529472.704213114,278.7640075683594,156.38763718376916,80.50505396191733,1,Tournaisian Plutonites,34
-678665.7299983252,4531278.02181991,176.31900024414062,214.5768794955854,43.24621540628252,1,Tournaisian Plutonites,37
-684425.3887127368,4529836.8700781055,240.9960174560547,234.1345594128483,79.22130808529415,1,Tournaisian Plutonites,34
-690224.8356714648,4537468.550188446,277.4040222167969,324.9137111588406,81.33355809965049,1,Tournaisian Plutonites,34
-700077.221124427,4544308.012125215,296.2340087890625,126.9789146868716,82.58943401739357,1,Tournaisian Plutonites,34
-696262.8676142818,4545135.057506571,262.3520202636719,373.49070481029617,55.62359949637664,1,Tournaisian Plutonites,35
-687784.6024065926,4540736.08036558,334.49200439453125,132.50546743579167,79.58177308336519,1,Tournaisian Plutonites,34
-698155.2304763561,4533699.437164071,283.0840148925781,215.00243063981375,79.46608549219633,1,Tournaisian Plutonites,34
-707235.9915449006,4540734.654327516,330.29400634765625,447.9563842525373,78.51448064817173,1,Tournaisian Plutonites,34
-690683.7223875191,4532904.797206258,178.3412628173828,185.65975077090047,79.20327003915897,1,Tournaisian Plutonites,34
-685282.4330924522,4542459.668858269,295.2230224609375,374.2936570666725,60.65079873541345,1,Tournaisian Plutonites,35
-689707.9968344658,4549550.372786712,464.3680114746094,178.01480774232516,58.98621987664142,1,Tournaisian Plutonites,35
-701278.8291807076,4543049.915566436,391.3370056152344,118.70439811402277,76.86328241506098,1,Tournaisian Plutonites,34
-677915.149811168,4541475.18005673,294.80401611328125,268.11675992864264,59.33679125859929,1,Tournaisian Plutonites,35
-689645.4988359128,4543829.061093628,296.9480285644531,365.96056201693096,61.42503153134744,1,Tournaisian Plutonites,35
-707414.2429819265,4545730.076624755,485.9390258789063,447.95638425254174,80.35838413275566,1,Tournaisian Plutonites,34
-692252.3429197179,4541537.757039512,205.06301879882807,227.7457717006481,79.32873774190335,1,Tournaisian Plutonites,34
-701466.5898506815,4547072.328339609,345.6960144042969,131.8061362490746,59.0613146821641,1,Tournaisian Plutonites,35
-697517.2219682402,4547064.502673468,188.9232482910156,203.06878940527704,56.585835387190166,1,Tournaisian Plutonites,36
-695999.907679173,4531026.963541583,264.4540100097656,351.3137442526225,77.92616795709615,1,Tournaisian Plutonites,34
